English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
I enjoy going camping.,아이 인조이 고잉 캠핑.,나는 / 즐겨 / 가는 것을 / 캠핑을,캠핑 가는 걸 즐겨요.
I prefer watching sports on TV.,아이 프리퍼 워칭 스포츠 온 티비.,나는 / 더 좋아해 / 보는 것을 / 스포츠를 / TV로,스포츠 경기를 TV로 보는 걸 더 좋아해요.
Do you like to watch sports on TV?,두 유 라이크 투 워치 스포츠 온 티비?,좋아하니 / 너는 / 보는 것을 / 스포츠를 / TV로,TV로 스포츠 경기 보는 거 좋아하세요?
"Yes, I do.","예스, 아이 두.",응 / 그래,"네, 좋아해요."
May I see that movie?,메이 아이 씨 댓 무비?,봐도 돼요 / 저 / 영화를,저 영화 봐도 될까요?
"No, you shouldn't do that.","노우, 유 슈든트 두 댓.",아니 / 그러면 / 안돼,"아니요, 그러면 안 돼요."
May I take a picture here?,메이 아이 테이크 어 픽처 히어?,찍어도 돼요 / 사진을 / 여기서,여기서 사진 찍어도 될까요?
You should use your napkin.,유 슈드 유즈 유어 냅킨.,너는 / 사용해야 해 / 너의 / 냅킨을,냅킨을 사용해야 해요.
That's a good idea.,댓츠 어 굿 아이디어.,그거 / 좋은 / 생각이야,좋은 생각이에요.
You must be careful on the street.,유 머스트 비 케어풀 온 더 스트리트.,너는 / 조심해야 해 / 길에서,길에서는 항상 조심해야 해요.
"Oh, I got it.","오, 아이 갓 잇.",아 / 알았어,"아, 알겠습니다."
What do you have to do?,왓 두 유 해브 투 두?,무엇을 / 해야 하니 / 너는,무엇을 해야 하나요?
I have to wash the dishes.,아이 해브 투 워쉬 더 디쉬즈.,나는 / 씻어야 해 / 그릇을,설거지를 해야 해요.
I have to sweep the floor.,아이 해브 투 스윕 더 플로어.,나는 / 쓸어야 해 / 마루바닥을,바닥을 쓸어야 해요.
What time do you go to bed?,왓 타임 두 유 고우 투 베드?,몇 시에 / 잠자리에 드니 / 너는,몇 시에 자요?
I go to bed at ten o'clock.,아이 고우 투 베드 앳 텐 어클락.,나는 / 잠자리에 들어 / 10시에,10시에 자요.
What about you?,왓 어바웃 유?,너는 / 어때,당신은 어때요?
At nine thirty.,앳 나인 써티.,9시 30분에,9시 30분에 자요.
What do you do in the morning?,왓 두 유 두 인 더 모어닝?,무엇을 / 하니 / 너는 / 아침에,아침에 뭐 하세요?
I get dressed.,아이 겟 드레스드.,나는 / 입어 / 옷을,옷을 입어요.
What do you do in the evening?,왓 두 유 두 인 디 이브닝?,무엇을 / 하니 / 너는 / 저녁에,저녁에 뭐 하세요?
I talk on the telephone.,아이 톡 온 더 텔리폰.,나는 / 얘기해 / 전화로,전화 통화를 해요.
I play the piano.,아이 플레이 더 피애노우.,나는 / 연주해 / 피아노를,피아노를 쳐요.
I take out the trash.,아이 테이크 아웃 더 트래쉬.,나는 / 비워 / 쓰레기통을,쓰레기를 버려요.
What do you do after school?,왓 두 유 두 애프터 스쿨?,무엇을 / 하니 / 너는 / 방과 후에,방과 후에 뭐 하니?
I usually play basketball.,아이 유주얼리 플레이 배스킷볼.,나는 / 보통 / 해 / 농구를,보통 농구를 해요.
I usually go to the library.,아이 유주얼리 고우 투 더 라이브러리.,나는 / 보통 / 가 / 도서관에,보통 도서관에 가요.
I usually practice the piano.,아이 유주얼리 프랙티스 더 피애노우.,나는 / 보통 / 연습해 / 피아노를,보통 피아노 연습을 해요.
I usually help my mom.,아이 유주얼리 헬프 마이 맘.,나는 / 보통 / 도와 / 어머니를,보통 어머니를 도와드려요.
Nothing special.,낫씽 스페셜.,특별한 / 일 / 없어,특별한 일은 없어요.
What do you do on Sunday?,왓 두 유 두 온 썬데이?,무엇을 / 하니 / 너는 / 일요일에,일요일에 뭐 하세요?
I go to church.,아이 고우 투 처치.,나는 / 가 / 교회에,교회에 가요.
I go to a swimming class.,아이 고우 투 어 스위밍 클래스.,나는 / 가 / 수영교실에,수영 수업을 들으러 가요.
I go to a computer class.,아이 고우 투 어 컴퓨터 클래스.,나는 / 가 / 컴퓨터교실에,컴퓨터 수업을 들으러 가요.
That's my sister.,댓츠 마이 씨스터.,저 애가 / 나의 / 여동생이야,저 애가 제 여동생이에요.
That's my girlfriend.,댓츠 마이 걸프렌드.,저 애가 / 나의 / 여자친구야,저 애가 제 여자친구예요.
"What? Oh, she's tall.","왓? 오, 쉬즈 톨.",뭐라고 / 야 / 키가 / 크다,"뭐라고요? 오, 키가 크네요."
"Yes, she is.","예스, 쉬 이즈.",응 / 그래,"네, 그래요."
Where is your sister?,웨어 이즈 유어 씨스터?,어디에 / 있니 / 너의 / 여동생은,여동생 어디 있니?
Over there.,오버 데어.,저쪽에,저기요.
She is wearing a blue shirt.,쉬 이즈 웨어링 어 블루 셔트.,그녀는 / 입고 있어 / 파란 / 셔츠를,파란색 셔츠를 입고 있어요.
How does he look like?,하우 더즈 히 룩 라이크?,어떻게 / 생겼니 / 그는,그는 어떻게 생겼나요?
He has big eyes.,히 해즈 빅 아이즈.,그는 / 가지고 있어 / 큰 / 눈을,그는 눈이 커요.
He is tall and thin.,히 이즈 톨 앤드 씬.,그는 / 키 크고 / 날씬해,그는 키가 크고 날씬해요.
He is wearing blue pants.,히 이즈 웨어링 블루 팬츠.,그는 / 입고 있어 / 파란색 / 바지를,그는 파란색 바지를 입고 있어요.
He is wearing sunglasses.,히 이즈 웨어링 썬글래시즈.,그는 / 쓰고 있어 / 선글라스를,그는 선글라스를 쓰고 있어요.
He is wearing a hat.,히 이즈 웨어링 어 햇.,그는 / 쓰고 있어 / 모자를,그는 모자를 쓰고 있어요.
What does she look like?,왓 더즈 쉬 룩 라이크?,어떻게 / 생겼니 / 그녀는,그녀는 어떻게 생겼나요?
She has red hair and green eyes.,쉬 해즈 레드 헤어 앤드 그린 아이즈.,그녀는 / 가지고 있어 / 빨간 머리와 / 녹색 눈을,그녀는 빨간 머리에 초록색 눈을 가졌어요.
She is tall and thin.,쉬 이즈 톨 앤드 씬.,그녀는 / 키 크고 / 날씬해,그녀는 키가 크고 날씬해요.
She is wearing blue pants.,쉬 이즈 웨어링 블루 팬츠.,그녀는 / 입고 있어 / 파란색 / 바지를,그녀는 파란색 바지를 입고 있어요.
How does it look?,하우 더즈 잇 룩?,어때 / 보이니 / 그것이,어때 보여요?
It looks beautiful.,잇 룩스 뷰티풀.,아름다워 / 보여,아름다워 보이네요.
What's he wearing?,왓츠 히 웨어링?,무엇을 / 입고 있니 / 그는,그는 무엇을 입고 있나요?
He's wearing a blue shirt.,히즈 웨어링 어 블루 셔트.,그는 / 입고 있어 / 파란 / 셔츠를,그는 파란색 셔츠를 입고 있어요.
Which one is Brian's cousin?,위치 원 이즈 브라이언스 커즌?,어느 쪽이 / 브라이언의 / 사촌이니,어떤 사람이 브라이언의 사촌인가요?
His cousin is the girl with curly red hair.,히즈 커즌 이즈 더 걸 위드 컬리 레드 헤어.,그의 / 사촌은 / 이야 / 여자 아이 / 빨간 곱슬머리를 한,그의 사촌은 빨간 곱슬머리를 한 여자아이에요.
Which one is Joseph's brother?,위치 원 이즈 죠셉스 브라더?,어느 쪽이 / 죠셉의 / 남동생이니,어떤 사람이 요셉의 남동생인가요?
He's the boy who is playing soccer.,히즈 더 보이 후 이즈 플레잉 싸커.,그는 / 이야 / 아이 / 축구를 하고 있는,그는 축구를 하고 있는 소년이에요.
I want two tickets for the concert.,아이 원트 투 티켓츠 포 더 컨서트.,나는 / 원해요 / 표 두 장을 / 콘서트,콘서트 티켓 두 장 주세요.
For what time?,포 왓 타임?,몇 시로요?,몇 시 공연인가요?
"The three o'clock show, please.","더 쓰리 어클락 쇼우, 플리즈.",3시 / 표로 / 주세요,3시 공연으로 부탁합니다.
Those tickets are all sold out.,도우즈 티켓츠 아 올 솔드 아웃.,그 / 표들은 / 다 / 팔렸습니다,그 티켓들은 모두 매진되었습니다.
Do you usually walk slowly or quickly?,두 유 유주얼리 워크 슬로울리 오어 퀵클리?,걷니 / 너는 / 보통 / 천천히 / 아니면 / 빨리,평소에 천천히 걷나요, 아니면 빨리 걷나요?
I usually walk slowly.,아이 유주얼리 워크 슬로울리.,나는 / 보통 / 걸어 / 천천히,전 보통 천천히 걸어요.
What do you think of my new jacket?,왓 두 유 씽크 오브 마이 뉴 재킷?,어떻게 / 생각하니 / 나의 / 새 / 재킷에 대해,제 새 재킷 어때 보여요?
It's very nice.,잇츠 베리 나이스.,정말 / 좋은데,정말 멋지네요.
Do you think the movie is fun?,두 유 씽크 더 무비 이즈 펀?,생각하니 / 너는 / 영화가 / 흥미롭다고,그 영화가 재미있을 것 같나요?
"Yes, I think so.","예스, 아이 씽크 쏘우.",응 / 그렇게 / 생각해,"네, 그렇게 생각해요."
"No, I don't think so.","노우, 아이 돈트 씽크 쏘우.",아니 / 그렇게 / 생각지 않아,"아니요, 전 그렇게 생각하지 않아요."
What do you think of the movie?,왓 두 유 씽크 오브 더 무비?,어떻게 / 생각하니 / 그 / 영화에 대해서,그 영화에 대해 어떻게 생각하세요?
The movie is fun.,더 무비 이즈 펀.,그 / 영화는 / 흥미로워,그 영화 재미있어요.
What do you think of the concert?,왓 두 유 씽크 오브 더 컨서트?,어떻게 / 생각하니 / 그 / 연주회에 대해서,그 콘서트에 대해 어떻게 생각하세요?
What do you think of the book?,왓 두 유 씽크 오브 더 북?,어떻게 / 생각하니 / 그 / 책에 대해서,그 책에 대해 어떻게 생각하세요?
What do you think is fun?,왓 두 유 씽크 이즈 펀?,무엇이 / 흥미롭다고 / 생각하니 / 너는,어떤 게 재미있다고 생각하세요?
I think watching movie is fun.,아이 씽크 워칭 무비 이즈 펀.,나는 / 생각해 / 보는 것이 / 영화를 / 흥미롭다고,영화를 보는 게 재미있다고 생각해요.
I think riding a bicycle is fun.,아이 씽크 라이딩 어 바이씨클 이즈 펀.,나는 / 생각해 / 타는 것이 / 자전거를 / 흥미롭다고,자전거를 타는 게 재미있다고 생각해요.
How do you like this painting?,하우 두 유 라이크 디스 페인팅?,어때 / 마음에 드니 / 이 / 그림이,이 그림 어때요? 마음에 드세요?
I've never seen such a wonderful painting.,아이브 네버 씬 써치 어 원더풀 페인팅.,나는 / 본 적이 없어 / 그렇게 / 아름다운 / 그림을,이렇게 훌륭한 그림은 본 적이 없어요.
I've never tasted such a delicious food.,아이브 네버 테이스티드 써치 어 딜리셔스 푸드.,나는 / 맛 본 적이 없어 / 그렇게 / 맛있는 / 음식을,이렇게 맛있는 음식은 처음이에요.
I've never listened to such a lovely music.,아이브 네버 리슨드 투 써치 어 러블리 뮤직.,나는 / 들어본 적이 없어 / 그렇게 / 아름다운 / 음악을,이렇게 아름다운 음악은 처음 들어봐요.
What did you say about it?,왓 디쥬 세이 어바웃 잇?,무엇이라고 / 말했니 / 그것에 대해서,그것에 대해 뭐라고 하셨죠?
I said it was really funny.,아이 쎄드 잇 워즈 리얼리 퍼니.,나는 / 말했어 / 그것이 / 정말 / 재미있었다고,정말 재미있었다고 했어요.
I said it was really boring.,아이 쎄드 잇 워즈 리얼리 보어링.,나는 / 말했어 / 그것이 / 정말 / 지루하다고,정말 지루하다고 했어요.
"May I take your order, please?","메이 아이 테이크 유어 오더, 플리즈?",주문하시겠습니까,주문하시겠습니까?
"I'd like a hamburger and a large coke, please.","아이드 라이크 어 햄버거 앤드 어 라지 코우크, 플리즈.",주세요 / 햄버거와 / 콜라 큰 것으로 / 하나,햄버거 하나랑 콜라 큰 거 하나 주세요.
Lunch is on me.,런치 이즈 온 미.,점심은 / 내가 / 살게,점심은 제가 살게요.
Dinner is on me.,디너 이즈 온 미.,저녁은 / 내가 / 살게,저녁은 제가 살게요.
"I appreciate it, but let's go Dutch.","아이 어프리시에이트 잇, 벗 렛츠 고우 더치.",고마워 / 하지만 / 각자 / 내자,"감사하지만, 각자 내기로 해요."
How would you like your steak?,하우 우쥬 라이크 유어 스테이크?,어떻게 / 해 드릴까요 / 너의 / 스테이크를,스테이크 어떻게 구워드릴까요?
"Medium, please.","미디엄, 플리즈.",중간으로 / 익혀 / 주세요,미디엄으로 해주세요.
Do you want some more steak?,두 유 원트 썸 모어 스테이크?,원하니 / 너는 / 좀 더 / 스테이크를,스테이크 좀 더 드시겠어요?
"Yes, please. Thank you.","예스, 플리즈. 땡큐.",예 / 주세요 / 고맙습니다,"네, 감사합니다."
"No, thank you. I'm full.","노우, 땡큐. 아임 풀.",아니요 / 됐습니다 / 나는 / 배불러요,"아니요, 괜찮습니다. 배불러요."
Do you want a fork?,두 유 원트 어 포크?,원하니 / 너는 / 포크를,포크 필요하세요?
"Yes, please. Thank you.","예스, 플리즈. 땡큐.",예 / 주세요 / 고맙습니다,"네, 고맙습니다."
"No, thank you.","노우, 땡큐.",아니요 / 됐습니다,"아니요, 괜찮습니다."
Do you want a knife?,두 유 원트 어 나이프?,원하니 / 너는 / 나이프를,나이프 필요하세요?
Do you want a spoon?,두 유 원트 어 스푼?,원하니 / 너는 / 스푼을,숟가락 필요하세요?
"Do you like apples, Miran?","두 유 라이크 애플즈, 미란?",좋아하니 / 너는 / 사과를 / 미란,"미란아, 사과 좋아해?"
"Yes, I do.","예스, 아이 두.",응 / 그래,"응, 좋아해."
How about bananas?,하우 어바웃 버내너즈?,어때 / 바나나는,바나나는 어때?
"No, I don't like them.","노우, 아이 돈트 라이크 뎀.",아니 / 나는 / 좋아하지 않아 / 그것들을,"아니, 안 좋아해."
How about cake?,하우 어바웃 케이크?,어때 / 케이크는,케이크는 어때?
How about cookies?,하우 어바웃 쿠키즈?,어때 / 과자는,과자는 어때?
"Hello, this is Mary.","헬로우, 디스 이즈 메리.",여보세요 / 저는 / 이에요 / 매리,"여보세요, 매리입니다."
Is Joseph there?,이즈 죠셉 데어?,있어요 / 죠셉이 / 거기에,요셉이 있나요?
"Speaking. / No, he isn't.","스피킹. / 노우, 히 이즌트.",전데요 / 아니요 / 없는데요,전데요. / 아니요, 지금 없는데요.
Can I talk to Joseph?,캔 아이 톡 투 죠셉?,통화 할 수 있을까요 / 죠셉과,요셉이랑 통화할 수 있을까요?
Speaking.,스피킹.,전데요,전데요.
"Who's calling, please?","후즈 콜링, 플리즈?",누구시죠,누구세요?
"Hello, this is Mary.","헬로우, 디스 이즈 메리.",여보세요 / 저 / 매리인데요,"여보세요, 저 매리예요."
Is Joseph there?,이즈 죠셉 데어?,있어요 / 죠셉이 / 거기에,요셉이 있나요?
You have the wrong number.,유 해브 더 롱 넘버.,잘못 / 걸었어요,전화 잘못 거셨습니다.
"Oh, I'm sorry.","오, 아임 쏘리.",오 / 미안합니다,"오, 죄송합니다."
Can I talk to Joseph?,캔 아이 톡 투 죠셉?,통화 할 수 있을까요 / 죠셉과,요셉이랑 통화할 수 있을까요?
Can I talk to Sarah?,캔 아이 톡 투 새롸?,통화 할 수 있을까요 / 사라와,사라랑 통화할 수 있을까요?
"Sorry, she's out.","쏘리, 쉬즈 아웃.",미안합니다 / 그녀는 / 외출 중이에요,"죄송하지만, 지금 외출 중입니다."
Can I take a message?,캔 아이 테이크 어 메시지?,전할 내용 / 있으세요,메시지 남겨 드릴까요?
"Yes, please tell him Mary called.","예스, 플리즈 텔 힘 메리 콜드.",예 / 전해 주세요 / 그에게 / 매리가 / 전화했다고,"네, 매리한테 전화 왔었다고 전해 주세요."
Shall we meet at the park at three?,쉘 위 밋 앳 더 파크 앳 쓰리?,만날까요 / 우리 / 공원에서 / 3시에,3시에 공원에서 만날까요?
OK. See you there.,오케이. 씨 유 데어.,좋아 / 거기서 / 봐,좋아요. 거기서 봐요.
"Sorry, I can't.","쏘리, 아이 캔트.",미안해 / 안되겠어,"미안, 안 되겠어."
What time shall we meet?,왓 타임 쉘 위 밋?,몇 시에 / 만날까요 / 우리,몇 시에 만날까요?
What time is good for you?,왓 타임 이즈 굿 포 유?,몇 시가 / 좋겠니 / 너에게,몇 시가 편하세요?
Anytime after three.,애니타임 애프터 쓰리.,언제라도 / 3시 이후에,3시 이후면 언제든 좋아요.
Can you tell him to call me?,캔 유 텔 힘 투 콜 미?,말해줄 수 있니 / 그에게 / 전화 해달라고 / 나에게,저한테 전화 좀 달라고 전해 주시겠어요?
"Sure, I will.","슈어, 아이 윌.",알겠어요 / 그럴게요,"네, 그럴게요."
Bye.,바이.,안녕히 계세요,안녕히 계세요.
When do you expect him back?,웬 두 유 익스펙트 힘 백?,언제 / 돌아올 것 같습니까 / 그가,그가 언제쯤 돌아올까요?
He will be back soon.,히 윌 비 백 순.,그는 / 돌아올 거예요 / 곧,곧 돌아올 거예요.
He will be back in a few minutes.,히 윌 비 백 인 어 퓨 미닛츠.,그는 / 돌아올 거에요 / 몇 분 안에,몇 분 안에 돌아올 거예요.
May I take a message?,메이 아이 테이크 어 메시지?,전할 내용 / 있으세요,전하실 말씀 있으신가요?
"Yes, please tell him to call me back.","예스, 플리즈 텔 힘 투 콜 미 백.",예 / 전해 주세요 / 그에게 / 다시 전화 해 달라고 / 나에게,"네, 저한테 다시 전화해 달라고 전해 주세요."
"No, it's O.K.","노우, 잇츠 오케이.",아니오 / 괜찮아요,"아니요, 괜찮습니다."
I will call him later.,아이 윌 콜 힘 레이터.,내가 / 전화할게요 / 그에게 / 나중에,제가 나중에 다시 전화할게요.
May I leave a message?,메이 아이 리브 어 메시지?,남길 수 있을까요 / 전할 내용을,메시지를 남길 수 있을까요?
"Sure, who is calling?","슈어, 후 이즈 콜링?",그럼요 / 누구시죠,"그럼요, 누구신가요?"
When do you expect him back?,웬 두 유 익스펙트 힘 백?,언제 / 돌아올 것 같습니까 / 그가,그가 언제쯤 돌아올까요?
He will be back in about an hour.,히 윌 비 백 인 어바웃 언 아워.,그는 / 돌아올 것입니다 / 약 / 한 시간 내에,한 시간 정도 후에 돌아올 거예요.
He will be back in ten minutes.,히 윌 비 백 인 텐 미닛츠.,그는 / 돌아올 것입니다 / 10분 내로,10분 뒤에 돌아올 거예요.
Do you know how?,두 유 노우 하우?,알고 있니 / 너는 / 어떻게 하는지,어떻게 하는지 아세요?
"Yes, I do. / No, I don't.","예스, 아이 두. / 노우, 아이 돈트.",응 / 그래 / 아니 / 그렇지 않아,네, 알아요. / 아니요, 몰라요.
Do you know where?,두 유 노우 웨어?,알고 있니 / 너는 / 어디인지,어디인지 아세요?
Could you tell me how to use this copy machine?,쿠쥬 텔 미 하우 투 유즈 디스 카피 머신?,알려 주실래요 / 나에게 / 어떻게 / 사용하는지 / 이 복사기를,이 복사기 어떻게 사용하는지 알려주시겠어요?
Sure.,슈어.,물론죠,그럼요.
"First, turn on the copy machine.","퍼스트, 턴 온 더 카피 머신.",먼저 / 켜세요 / 복사기를,"먼저, 복사기를 켜세요."
"Next, open the cover.","넥스트, 오픈 더 커버.",다음에 / 여세요 / 덮개를,"다음으로, 덮개를 여세요."
And put the paper on the glass.,앤드 풋 더 페이퍼 온 더 글래스.,그리고 / 놓으세요 / 종이를 / 유리 위에,그리고 유리에 종이를 올리세요.
"Then, press the green button.","덴, 프레스 더 그린 버튼.",그리고 나서 / 누르세요 / 녹색 / 버튼을,"그다음, 초록색 버튼을 누르세요."
That's all. Did you get it?,댓츠 올. 디쥬 겟 잇?,그게 / 전부입니다 / 이해하셨죠,그게 다예요. 이해하셨나요?
What kind of music do you like?,왓 카인드 오브 뮤직 두 유 라이크?,어떤 / 종류의 / 음악을 / 좋아하니 / 너는,어떤 종류의 음악을 좋아하세요?
I like classical music.,아이 라이크 클래시컬 뮤직.,나는 / 좋아해 / 고전음악을,전 클래식 음악을 좋아해요.
What kinds of hobbies do you like most?,왓 카인즈 오브 하비즈 두 유 라이크 모우스트?,무슨 / 취미를 / 가장 좋아하니 / 너는,어떤 취미를 가장 좋아하세요?
I like traveling most.,아이 라이크 트래블링 모우스트.,나는 / 좋아해 / 여행하는 것을 / 가장,전 여행하는 걸 제일 좋아해요.
I like dancing most.,아이 라이크 댄싱 모우스트.,나는 / 좋아해 / 춤추는 것을 / 가장,전 춤추는 걸 제일 좋아해요.
I like singing most.,아이 라이크 씽잉 모우스트.,나는 / 좋아해 / 노래하는 것을 / 가장,전 노래 부르는 걸 제일 좋아해요.
Do you like spring?,두 유 라이크 스프링?,좋아하니 / 너는 / 봄을,봄을 좋아하세요?
"Yes, I do. I like spring. It's warm.","예스, 아이 두. 아이 라이크 스프링. 잇츠 워엄.",응 / 그래 / 나는 / 좋아해 / 봄을 / 따뜻해,"네, 좋아해요. 봄은 따뜻하잖아요."
"How about you? Me, too.","하우 어바웃 유? 미, 투.",너는 / 어때 / 나도 / 그래,당신은 어때요? 저도요.
Do you like summer?,두 유 라이크 써머?,좋아하니 / 너는 / 여름을,여름 좋아하세요?
"No, I don't like summer.","노우, 아이 돈트 라이크 써머.",아니 / 나는 / 좋아하지 않아 / 여름을,"아니요, 여름 안 좋아해요."
It's hot.,잇츠 핫.,더워,덥잖아요.
Which season do you like best?,위치 씨즌 두 유 라이크 베스트?,어느 / 계절을 / 가장 좋아하니 / 너는,어떤 계절을 가장 좋아하세요?
I like summer best.,아이 라이크 써머 베스트.,나는 / 좋아해 / 여름을 / 가장,여름을 제일 좋아해요.
"Which season do you like better, summer or winter?","위치 씨즌 두 유 라이크 베터, 써머 오어 윈터?",어느 / 계절을 / 더 좋아하니 / 여름 / 아니면 / 겨울,여름이랑 겨울 중에 어떤 계절을 더 좋아하세요?
I like winter better.,아이 라이크 윈터 베터.,나는 / 좋아해 / 겨울을 / 더,겨울을 더 좋아해요.
Why do you like winter best?,와이 두 유 라이크 윈터 베스트?,왜 / 좋아하니 / 너는 / 겨울을 / 가장,왜 겨울을 제일 좋아하세요?
I like winter best because I like snow.,아이 라이크 윈터 베스트 비코즈 아이 라이크 스노우.,나는 / 좋아해 / 겨울을 / 가장 / 왜냐하면 / 좋아하기 때문에 / 눈을,눈을 좋아해서 겨울을 제일 좋아해요.
I like spring best because I like flowers.,아이 라이크 스프링 베스트 비코즈 아이 라이크 플라워즈.,나는 / 좋아해 / 봄을 / 가장 / 왜냐하면 / 좋아하기 때문에 / 꽃을,꽃을 좋아해서 봄을 제일 좋아해요.
What's your favorite music?,왓츠 유어 페이버릿 뮤직?,무엇이니 / 너의 / 가장 좋아하는 / 음악은,가장 좋아하는 음악이 뭐예요?
My favorite music is pop music.,마이 페이버릿 뮤직 이즈 팝 뮤직.,나의 / 가장 좋아하는 / 음악은 / 이야 / 팝음악,팝송을 제일 좋아해요.
I like pop music.,아이 라이크 팝 뮤직.,나는 / 좋아해 / 팝음악을,전 팝송을 좋아해요.
What is your favorite animal?,왓 이즈 유어 페이버릿 애니멀?,무엇이니 / 너의 / 가장 좋아하는 / 동물은,가장 좋아하는 동물이 뭐예요?
My favorite animal is a rabbit.,마이 페이버릿 애니멀 이즈 어 래빗.,나의 / 가장 좋아하는 / 동물은 / 이야 / 토끼,토끼를 제일 좋아해요.
Who is your favorite musician?,후 이즈 유어 페이버릿 뮤지션?,누구니 / 너의 / 가장 좋아하는 / 음악가는,가장 좋아하는 음악가가 누구예요?
My favorite musician is Mozart.,마이 페이버릿 뮤지션 이즈 모우짜트.,나의 / 가장 좋아하는 / 음악가는 / 이야 / 모차르트,모차르트를 제일 좋아해요.
"It's very cold in here, isn't it?","잇츠 베리 콜드 인 히어, 이즌트 잇?",매우 / 춥다 / 여기 안이 / 그렇지 않니,"여기 정말 춥네요, 그렇죠?"
"Yes, it is.","예스, 잇 이즈.",응 / 그래,"네, 그러네요."
Would you mind closing the window?,우쥬 마인드 클로징 더 윈도우?,괜찮겠니 / 창문을 / 닫아주지 않겠니,창문 좀 닫아주실 수 있나요?
"No, not at all.","노우, 낫 앳 올.",그렇고 / 말고,"그럼요, 괜찮습니다."
May I help you?,메이 아이 헬프 유?,도와 드릴까요,무엇을 도와드릴까요?
"Yes, how much is that pencil case?","예스, 하우 머치 이즈 댓 펜슬 케이스?",예 / 얼마에요 / 저 / 필통은,"네, 저 필통 얼마인가요?"
It's seven dollars.,잇츠 쎄븐 달러즈.,7달러인데요,7달러입니다.
It's ten dollars.,잇츠 텐 달러즈.,10달러인데요,10달러입니다.
How much is it?,하우 머치 이즈 잇?,얼마에요,얼마예요?
It's three dollars.,잇츠 쓰리 달러즈.,3달러에요,3달러예요.
OK. I'll take it.,오케이. 아일 테이크 잇.,좋아요 / 그것으로 / 할게요,좋아요. 그걸로 살게요.
Thanks. Here's your change.,땡크스. 히어즈 유어 체인지.,고맙습니다 / 여기 / 있어요 / 거스름 돈,감사합니다. 여기 거스름돈입니다.
Wow! You're very tall.,와우! 유어 베리 톨.,야 / 너는 / 정말 / 키가 크다,와! 키 정말 크시네요.
How tall are you?,하우 톨 아 유?,키가 / 몇이니 / 너는,키가 몇이에요?
I'm one hundred and eighty centimeters tall.,아임 원 헌드레드 앤드 에이티 쎈티미터즈 톨.,나는 / 180cm / 이야,180cm예요.
I'm taller than my father.,아임 톨러 댄 마이 파더.,나는 / 키가 더 커 / 아버지보다,전 아버지보다 키가 커요.
My mother loves my brother more than me.,마이 마더 러브스 마이 브라더 모어 댄 미.,나의 / 어머니는 / 사랑해 / 내 남동생을 / 나보다 / 더,어머니는 저보다 제 남동생을 더 사랑하세요.
My mother loves my sister more than me.,마이 마더 러브스 마이 씨스터 모어 댄 미.,나의 / 어머니는 / 사랑해 / 내 여동생을 / 나보다 / 더,어머니는 저보다 제 여동생을 더 사랑하세요.
My father loves my brother more than me.,마이 파더 러브스 마이 브라더 모어 댄 미.,나의 / 아버지는 / 사랑해 / 내 남동생을 / 나보다 / 더,아버지는 저보다 제 남동생을 더 사랑하세요.
That's not fair.,댓츠 낫 페어.,그건 / 공평하지 않아,그건 불공평해요.
Take it easy.,테이크 잇 이지.,진정해,진정하세요.
That's not true.,댓츠 낫 트루.,그렇지 않아,그건 사실이 아니에요.
Who is younger?,후 이즈 영거?,누가 / 더 어리니,누가 더 어려요?
Joseph is younger.,죠셉 이즈 영거.,죠셉이 / 더 어려,요셉이 더 어려요.
Who is stronger?,후 이즈 스트롱거?,누가 / 더 세니,누가 더 힘이 세요?
Who is taller?,후 이즈 톨러?,누가 / 더 키가 크니,누가 더 키가 커요?
Who is shorter?,후 이즈 쇼터?,누가 / 더 키가 작니,누가 더 키가 작아요?
When is your birthday?,웬 이즈 유어 버얼쓰데이?,언제니 / 너의 / 생일이,생일이 언제예요?
September tenth. I'm older than you.,쎕템버 텐쓰. 아임 올더 댄 유.,9월 / 10일 / 나는 / 나이가 더 많아 / 너보다,9월 10일이에요. 제가 당신보다 나이가 많네요.
Is this your pencil?,이즈 디스 유어 펜슬?,이것이 / 너의 / 연필이니,이거 네 연필이니?
"No, my pencil is shorter than yours.","노우, 마이 펜슬 이즈 쇼터 댄 유어즈.",아니 / 내 / 연필이 / 더 짧아 / 네 것보다,"아니, 내 연필이 네 것보다 더 짧아."
"No, my pencil is longer than yours.","노우, 마이 펜슬 이즈 롱거 댄 유어즈.",아니 / 내 / 연필이 / 더 길어 / 네 것보다,"아니, 내 연필이 네 것보다 더 길어."
A car runs as fast as a train.,어 카 런즈 애즈 패스트 애즈 어 트레인.,차는 / 달려 / 기차만큼 / 빠르게,자동차는 기차만큼 빠르게 달려요.
That's right.,댓츠 라이트.,그래 / 맞아,맞아요.
That's not quite right.,댓츠 낫 콰이트 라이트.,그건 / 정말 / 옳지 않아,그건 좀 틀린 것 같은데요.
My pencil is as long as yours.,마이 펜슬 이즈 애즈 롱 애즈 유어즈.,내 / 연필은 / 이야 / 네 것만큼 / 길어,내 연필은 네 것만큼 길어.
A cat is as big as a rabbit.,어 캣 이즈 애즈 빅 애즈 어 래빗.,고양이는 / 이야 / 토끼 정도만큼 / 커,고양이는 토끼만큼 커요.
Which one is the fastest?,위치 원 이즈 더 패스티스트?,어느 것이 / 가장 빠릅니까,어떤 게 가장 빠른가요?
