English Sentence,Korean Pronounce,Direct Comprehension
"No, my pencil is longer than yours.","노우, 마이 펜슬 이즈 롱거 댄 유어즈.",아니 / 내 / 연필이 / 더 길어 / 네 것보다
A car runs as fast as a train.,어 카 런즈 애즈 패스트 애즈 어 트레인.,차는 / 달려 / 기차만큼 / 빠르게
That's right.,댓츠 라이트.,그래 / 맞아
That's not quite right.,댓츠 낫 콰이트 라이트.,그건 / 정말 / 옳지 않아
My pencil is as long as yours.,마이 펜슬 이즈 애즈 롱 애즈 유어즈.,내 / 연필은 / 이야 / 네 것만큼 / 길어
A cat is as big as a rabbit.,어 캣 이즈 애즈 빅 애즈 어 래빗.,고양이는 / 이야 / 토끼 정도만큼 / 커
Which one is the fastest?,위치 원 이즈 더 패스티스트?,어느 것이 / 가장 빠릅니까
The cheetah is the fastest.,더 치타 이즈 더 패스티스트.,치타가 / 가장 빠릅니다
Which one is the slowest?,위치 원 이즈 더 슬로우이스트?,어느 것이 / 가장 느립니까
The turtle is the slowest.,더 터틀 이즈 더 슬로우이스트.,거북이가 / 제일 느립니다
Miami is one of the most beautiful cities in the world.,마이애미 이즈 원 오브 더 모우스트 뷰티풀 시티즈 인 더 월드.,마이애미는 / 이야 / 하나 / 가장 아름다운 / 도시들 중의 / 세계에서
I know. I hope to visit there someday.,아이 노우. 아이 홉 투 비짓 데어 썸데이.,그래 / 나는 / 바라 / 방문하기를 / 거기를 / 언젠가는
Have you ever been to England?,해브 유 에버 빈 투 잉글랜드?,가 본적이 있니 / 너는 / 영국에
"Yes, I have.","예스, 아이 해브.",응 / 그래
"No, I haven't.","노우, 아이 해븐트.",아니 / 그렇지 않아
Have you ever been to Paris?,해브 유 에버 빈 투 패리스?,가 본적이 있니 / 너는 / 파리에
Have you ever eaten ginseng?,해브 유 에버 이튼 진쎙?,먹어 본적이 있니 / 너는 / 인삼을
"Yes, I have.","예스, 아이 해브.",응 / 그래
"No, I haven't.","노우, 아이 해븐트.",아니 / 그렇지 않아
Have you ever dreamed in English?,해브 유 에버 드림드 인 잉글리쉬?,꿔 본적이 있니 / 너는 / 꿈을 / 영어로
Have you ever eaten potato salad?,해브 유 에버 이튼 퍼테이토우 샐러드?,먹어 본적이 있니 / 너는 / 감자 샐러드를
I've been to London.,아이브 빈 투 런던.,나는 / 가 본 적이 있어 / 런던에
But I've never been to India.,벗 아이브 네버 빈 투 인디아.,그러나 / 나는 / 가 본 적이 없어 / 인도에
"I've eaten onions,","아이브 이튼 어니언즈,",나는 / 먹어 본 적이 있어 / 양파를
But I've never eaten garlic.,벗 아이브 네버 이튼 갈릭.,그러나 / 나는 / 먹어 본 적이 없어 / 마늘을
I've seen a penguin.,아이브 씬 어 펭귄.,나는 / 본 적이 있어 / 펭귄을
But I've never seen a cheetah.,벗 아이브 네버 씬 어 치타.,그러나 / 나는 / 본 적이 없어 / 치타를
Have you finished your homework yet?,해브 유 피니쉬트 유어 홈워크 옛?,끝냈니 / 너는 / 숙제를 / 아직
"Yes, I have.","예스, 아이 해브.",응 / 그래
"No, I haven't.","노우, 아이 해븐트.",아니 / 그렇지 않아
Have you cleaned up your room?,해브 유 클린드 업 유어 룸?,청소했니 / 너는 / 너의 / 방을
How long have you been a teacher?,하우 롱 해브 유 빈 어 티처?,얼마 동안 / 있었어요 / 너는 / 교사로
I have been a teacher for six years.,아이 해브 빈 어 티처 포 씩스 이어즈.,나는 / 있었어요 / 교사로 / 6년 동안
How often do you go bowling?,하우 오픈 두 유 고우 볼링?,얼마나 자주 / 가니 / 너는 / 볼링 하러
I go bowling once a week.,아이 고우 볼링 원스 어 윅.,나는 / 가 / 볼링 하러 / 일주일에 / 한 번
How often do you climb a mountain?,하우 오픈 두 유 클라임 어 마운틴?,얼마나 자주 / 가니 / 너는 / 등산을
I climb a mountain twice a week.,아이 클라임 어 마운틴 트와이스 어 윅.,나는 / 가 / 등산을 / 일주일에 / 두 번
I wish there were no pollution in the world.,아이 위쉬 데어 워 노우 펄루션 인 더 월드.,바라 / 없으면 / 오염이 / 세상에
You can say that again.,유 캔 세이 댓 어겐.,그래 / 네 말이 / 정말 / 맞아
I wish there were no war in the world.,아이 위쉬 데어 워 노우 워 인 더 월드.,바라 / 없으면 / 전쟁이 / 세상에
I'm not good at English.,아임 낫 굿 앳 잉글리쉬.,나는 / 잘 못해 / 영어를
I wish I was good at English.,아이 위쉬 아이 워즈 굿 앳 잉글리쉬.,바라 / 잘 하면 / 영어를
I can't dance. I wish I could dance well.,아이 캔트 댄스. 아이 위쉬 아이 쿠드 댄스 웰.,나는 / 못 춰 / 춤을 / 바라 / 잘 출 수 있으면 / 춤을
I wear glasses. I wish I didn't wear glasses.,아이 웨어 글래시즈. 아이 위쉬 아이 디든트 웨어 글래시즈.,나는 / 끼고 있어 / 안경을 / 바라 / 끼지 않으면 / 안경을
I don't have a cell-phone.,아이 돈트 해브 어 쎌폰.,나는 / 없어 / 핸드폰이
I wish I had a cell-phone.,아이 위쉬 아이 해드 어 쎌폰.,바라 / 있으면 / 핸드폰이
"If you could go anywhere,","이프 유 쿠드 고우 애니웨어,",만일 / 갈 수 있다면 / 너가 / 어디든지
Where would you go?,웨어 우드 유 고우?,어디에 / 가겠니 / 너는
I would go to Miami.,아이 우드 고우 투 마이애미.,나는 / 갈 거야 / 마이애미에
What do you do before you eat breakfast?,왓 두 유 두 비포 유 잇 브렉퍼스트?,무엇을 / 하니 / 너는 / 전에 / 먹기 / 아침식사를
I go swimming before I eat breakfast.,아이 고우 스위밍 비포 아이 잇 브렉퍼스트.,나는 / 가 / 수영하러 / 전에 / 먹기 / 아침식사를
What have you done before you ate breakfast?,왓 해브 유 던 비포 유 에이트 브렉퍼스트?,무엇을 / 했니 / 너는 / 전에 / 먹기 / 아침식사를
I had gone swimming before I ate breakfast.,아이 해드 곤 스위밍 비포 아이 에이트 브렉퍼스트.,나는 / 갔었어 / 수영하러 / 전에 / 먹기 / 아침식사를
What did you want to be when you were little?,왓 디쥬 원트 투 비 웬 유 워 리를?,무엇이 / 되고 싶었니 / 너는 / 어렸을 때
I wanted to be a police officer.,아이 원티드 투 비 어 펄리스 오피서.,나는 / 되고 싶었어 / 경찰관이
What were you doing when I rang the doorbell?,왓 워 유 두잉 웬 아이 랭 더 도어벨?,무엇을 / 하고 있었니 / 너는 / 내가 / 눌렀을 때 / 현관 벨을
I was doing my homework when you rang the doorbell.,아이 워즈 두잉 마이 홈워크 웬 유 랭 더 도어벨.,나는 / 하고 있었어 / 숙제를 / 네가 / 눌렀을 때 / 현관 벨을
When did you learn how to ride a bike?,웬 디쥬 런 하우 투 라이드 어 바이크?,언제 / 배웠니 / 타는 방법을 / 자전거를
I learned how to ride a bike when I was six.,아이 런드 하우 투 라이드 어 바이크 웬 아이 워즈 씩스.,나는 / 배웠어 / 타는 방법을 / 자전거를 / 내가 / 6살이었을 때
Why did you wake up late?,와이 디쥬 웨이크 업 레이트?,왜 / 일어났니 / 너는 / 늦게
"I forgot to set the alarm clock, so I woke up late.","아이 포갓 투 쎗 디 얼람 클락, 쏘우 아이 워우크 업 레이트.",나는 / 깜빡 잊었어 / 맞추는 것을 / 알람 시계를 / 그래서 / 일어났어 / 늦게
I woke up late because I forgot to set the alarm clock.,아이 워우크 업 레이트 비코즈 아이 포갓 투 쎗 디 얼람 클락.,나는 / 일어났어 / 늦게 / 왜냐하면 / 깜박 잊었기 때문에 / 맞추는 것을 / 알람 시계를
